5,9,0,0.6
0,0.094339623,1,0.997142857
1,0.185082873,0,0.42
0,0.094488189,0,0.59
4,0.843292442,0,0.63
11,0.609090909,0,0.28
17,0.92344086,1,0.25
0,1,0,0.45
0,0.080645161,4,0.67
124,6,0,0.3
2,0.408284024,1,0.29
36,0.28019802,0,0.33
2,0.549707602,37321,0.26
0,0.364457831,0,0.23
34,0.512209649,0,0.4
0,0.242857143,0,0.49
12,1,0,0.37
41,0.586524965,0,0.22
25,1,1,0.36
0,3,1,0.5
28,1,5,0.48
0,1,1,0.71
3,1,453,0.35
31,11,339,0.34
104,1,70,0.3
0,1,24,0.48
130,9,94,0.47
61,13,619,0.56
0,1,0,0.4
2,0.444711538,3,0.44
7,1,1238,0.44
10,13,2,0.53
9,56,9,0.57
850,4,21,0.43
0,4,0,0.68
7,1,1,0.53
68,4,1364,0.53
869,9,3,0.69
50,5,7,0.57
0,2693,0,0.76
0,0.108695652,0,0.72
19,21,5,0.58
0,0.159090909,0,0.52
0,0.263157895,5,0.66
1,4,14,0.62
0,0.088652482,0,0.33
8,8,21,0.49
74,17,571,0.59
1,4,1,0.43
78,5,4,0.51
25,1,1,0.23
106,5,15,0.34
56,18,10,0.74
9,0.945219124,2,0.51
95,0.689844761,0,0.38
0,3,0,0.45
0,695,0,0.57
319,1,1566,0.4
313,1,0,0.55
2,3,15,0.69
2,0.949438202,3327,0.3
68,7,0,0.39
232,11,59,0.63
0,0.909244051,0,0.45
0,0.775672981,0,0.37
0,0.593586616,0,0.52
2,1,3,0.27
19,6,71,0.6
9,5,1662,0.45
104,2,0,0.55
0,784,0,0.57
70,2,4,0.37
2,3,1,0.39
182,1,1983,0.36
226,4,3,0.38
10,0.635329795,142,0.27
183,5,4,0.36
174,2,0,0.31
4,2,30,0.34
98,0.796271339,0,0.28
0,24,84,0.55
20,4,0,0.48
0,7,1,0.61
12,4,2,0.49
93,0.762955854,496,0.34
23,2,0,0.29
37,1,242,0.26
13,39,2,0.65
0,0.641428011,0,0.42
219,1,233,0.46
86,3,0,0.61
3,1,0,0.38
0,0.548955449,14,0.36
30,25,3,0.41
14,28,163,0.39
21,16,119,0.68
24,3,3463,0.52
177,1,158,0.29
24,0.90785124,223,0.36
17,1,94,0.5