5.0,9.0,0.0,1.0
0.0,0.1,1.0,1.0
1.0,0.2,0.0,0.0
0.0,0.1,0.0,1.0
4.0,0.8,0.0,1.0
11.0,0.6,0.0,0.0
17.0,0.9,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.1,4.0,1.0
124.0,6.0,0.0,0.0
2.0,0.4,1.0,0.0
36.0,0.3,0.0,0.0
2.0,0.5,37321.0,0.0
0.0,0.4,0.0,0.0
34.0,0.5,0.0,0.0
0.0,0.2,0.0,1.0
12.0,1.0,0.0,0.0
41.0,0.6,0.0,0.0
25.0,1.0,1.0,0.0
0.0,3.0,1.0,1.0
28.0,1.0,5.0,0.0
0.0,1.0,1.0,1.0
3.0,1.0,453.0,0.0
31.0,11.0,339.0,0.0
104.0,1.0,70.0,0.0
0.0,1.0,24.0,0.0
130.0,9.0,94.0,0.0
61.0,13.0,619.0,1.0
0.0,1.0,0.0,0.0
2.0,0.4,3.0,0.0
7.0,1.0,1238.0,0.0
10.0,13.0,2.0,1.0
9.0,56.0,9.0,1.0
850.0,4.0,21.0,0.0
0.0,4.0,0.0,1.0
7.0,1.0,1.0,1.0
68.0,4.0,1364.0,1.0
869.0,9.0,3.0,1.0
50.0,5.0,7.0,1.0
0.0,2693.0,0.0,1.0
0.0,0.1,0.0,1.0
19.0,21.0,5.0,1.0
0.0,0.2,0.0,1.0
0.0,0.3,5.0,1.0
1.0,4.0,14.0,1.0
0.0,0.1,0.0,0.0
8.0,8.0,21.0,1.0
74.0,17.0,571.0,1.0
1.0,4.0,1.0,1.0
78.0,5.0,4.0,1.0
25.0,1.0,1.0,0.0
106.0,5.0,15.0,0.0
56.0,18.0,10.0,1.0
9.0,0.9,2.0,1.0
95.0,0.7,0.0,0.0
0.0,3.0,0.0,0.0
0.0,695.0,0.0,1.0
319.0,1.0,1566.0,0.0
313.0,1.0,0.0,1.0
2.0,3.0,15.0,1.0
2.0,0.9,3327.0,0.0
68.0,7.0,0.0,0.0
232.0,11.0,59.0,1.0
0.0,0.9,0.0,0.0
0.0,0.8,0.0,0.0
0.0,0.6,0.0,1.0
2.0,1.0,3.0,0.0
19.0,6.0,71.0,1.0
9.0,5.0,1662.0,0.0
104.0,2.0,0.0,1.0
0.0,784.0,0.0,1.0
70.0,2.0,4.0,0.0
2.0,3.0,1.0,0.0
182.0,1.0,1983.0,0.0
226.0,4.0,3.0,0.0
10.0,0.6,142.0,0.0
183.0,5.0,4.0,0.0
174.0,2.0,0.0,0.0
4.0,2.0,30.0,0.0
98.0,0.8,0.0,0.0
0.0,24.0,84.0,1.0
20.0,4.0,0.0,0.0
0.0,7.0,1.0,1.0
12.0,4.0,2.0,1.0
93.0,0.8,496.0,0.0
23.0,2.0,0.0,0.0
37.0,1.0,242.0,0.0
13.0,39.0,2.0,1.0
0.0,0.6,0.0,0.0
219.0,1.0,233.0,0.0
86.0,3.0,0.0,1.0
3.0,1.0,0.0,0.0
0.0,0.5,14.0,0.0
30.0,25.0,3.0,0.0
14.0,28.0,163.0,0.0
21.0,16.0,119.0,1.0
24.0,3.0,3463.0,1.0
177.0,1.0,158.0,0.0
24.0,0.9,223.0,0.0
17.0,1.0,94.0,1.0